Month,Category,Region,Sales ($),Profit ($),Units Sold
Jul,Sports,South,1300,2248,16
Apr,Electronics,West,5501,246,53
Nov,Furniture,North,9352,816,70
Aug,Cosmetics,West,6914,606,191
May,Furniture,West,6671,2705,188
Jul,Toys,South,9217,2251,95
Oct,Clothing,South,1082,2483,57
Mar,Clothing,South,9364,545,70
Jul,Toys,South,1998,2881,106
Nov,Clothing,North,6804,543,177
Nov,Clothing,East,7937,217,140
Aug,Sports,East,4141,1640,167
May,Cosmetics,North,3882,1028,161
Apr,Cosmetics,West,8362,2870,11
Aug,Furniture,North,4084,666,53
Aug,Toys,East,3045,2036,177
Mar,Electronics,East,9952,187,28
Jun,Furniture,North,1204,1752,161
May,Furniture,South,6284,575,59
Feb,Furniture,West,2552,1805,29
Aug,Furniture,North,8816,1608,66
Dec,Cosmetics,East,1824,394,122
Jun,Electronics,South,4748,819,59
Feb,Furniture,West,6578,1504,104
Dec,Cosmetics,East,6912,1094,114
May,Furniture,West,8390,1406,195
Jan,Clothing,South,6197,2991,168
Dec,Furniture,East,5695,785,174
Oct,Toys,South,7768,2786,116
Jun,Toys,North,4683,1303,102
Dec,Furniture,North,2961,1060,13
Sep,Sports,West,1937,1034,195
Jan,Clothing,South,8595,505,147
Nov,Electronics,South,1424,1390,72
Nov,Furniture,West,4051,1717,173
Oct,Electronics,West,3905,1187,192
Dec,Clothing,West,3694,218,66
Dec,Furniture,North,4595,2488,180
Mar,Sports,West,2267,412,114
Dec,Cosmetics,North,1421,262,74
Jul,Sports,West,4266,1628,149
Apr,Sports,South,8017,392,71
Sep,Cosmetics,South,3100,789,161
Mar,Cosmetics,West,8129,1500,139
May,Toys,West,9095,1665,184
Mar,Cosmetics,North,9876,772,135
Jul,Furniture,East,3226,498,193
May,Electronics,North,5388,2634,153
Sep,Toys,South,3422,1147,171
Jul,Toys,West,8226,2042,155
Feb,Electronics,South,8316,2896,38
Apr,Toys,East,3843,339,191
Sep,Cosmetics,North,5111,2458,60
Dec,Sports,South,6659,2468,23
Feb,Clothing,North,2903,771,103
Oct,Cosmetics,West,5224,2719,67
Sep,Sports,South,5979,2561,172
Oct,Sports,East,6363,501,146
May,Toys,North,1425,2206,137
Feb,Furniture,North,3401,152,46
Apr,Furniture,East,9941,1187,112
Dec,Toys,South,8248,2780,21
Dec,Toys,South,1043,1242,94
Jul,Electronics,North,7298,385,148
Dec,Electronics,East,6042,2165,36
Aug,Clothing,North,2559,1128,97
Mar,Clothing,North,7035,2028,180
Jan,Clothing,West,8071,259,187
Apr,Clothing,South,5194,241,107
Feb,Sports,South,4951,496,29
Aug,Sports,West,1147,1141,150
Apr,Electronics,South,3170,2727,56
Feb,Furniture,South,9303,633,17
Jun,Toys,South,6118,1655,80
Jun,Furniture,East,8155,1898,73
Oct,Cosmetics,West,8297,2608,53
Apr,Sports,North,5163,1733,21
Jun,Clothing,East,9026,385,114
Feb,Clothing,North,9067,1128,13
Oct,Cosmetics,West,3939,2276,49
Dec,Furniture,West,6727,1055,156
Feb,Clothing,West,9064,770,191
Oct,Furniture,South,4616,598,10
Apr,Toys,East,6405,2423,128
Aug,Cosmetics,West,8285,1206,150
Jul,Furniture,North,9351,1955,59
Dec,Toys,South,6880,1241,190
Sep,Furniture,South,2013,2176,179
Aug,Furniture,East,9743,2797,118
May,Clothing,East,8391,1280,162
Feb,Electronics,East,2175,2178,53
May,Sports,South,6247,2990,118
Aug,Furniture,West,8518,2106,107
Oct,Furniture,North,7290,1409,198
Sep,Furniture,West,2308,1788,90
Dec,Electronics,North,5827,435,158
Dec,Toys,West,6264,669,188
Dec,Cosmetics,East,2777,2460,85
Sep,Clothing,North,1059,698,89
Jan,Electronics,South,7986,1246,61
Sep,Toys,North,8860,964,72
Jul,Furniture,South,9527,2518,93
Sep,Toys,West,2592,904,191
Aug,Electronics,East,5380,413,147
Jan,Electronics,North,7097,127,96
Dec,Electronics,South,7458,1353,120
Aug,Cosmetics,West,6717,1129,68
Aug,Sports,East,5166,2620,17
Nov,Clothing,East,7488,2096,60
Mar,Cosmetics,East,9157,1441,142
Jan,Cosmetics,West,6419,1348,85
Aug,Sports,West,9334,2236,179
Mar,Cosmetics,West,2046,2187,87
Mar,Electronics,East,8636,780,133
Jan,Electronics,North,5187,474,21
Nov,Toys,South,4340,2540,33
May,Furniture,West,7177,1141,54
Oct,Cosmetics,North,5773,1650,62
Jul,Furniture,South,4435,2279,190
Oct,Clothing,East,8300,2437,154
Sep,Electronics,North,7902,1953,127
Dec,Toys,East,6799,905,195
Jul,Clothing,South,1965,2356,46
Sep,Toys,West,8444,2474,84
Aug,Sports,East,7678,2650,179
Dec,Electronics,North,1500,378,88
Feb,Clothing,West,5554,1505,177
Jan,Sports,North,1049,887,32
Jul,Clothing,South,1987,1051,160
Jul,Toys,South,7771,1432,58
Aug,Sports,West,2115,376,137
May,Sports,North,4932,2445,144
Mar,Electronics,North,5434,532,46
Dec,Furniture,North,4567,1109,153
Aug,Toys,North,2658,1195,47
Jun,Toys,South,8944,416,108
Nov,Sports,North,6800,1311,177
Mar,Sports,South,5376,220,38
Jan,Electronics,North,9017,1465,112
Mar,Furniture,North,3815,2800,154
May,Toys,East,1970,403,157
Mar,Cosmetics,East,8820,1035,119
Jan,Cosmetics,North,6512,2868,162
May,Furniture,South,1207,595,69
Oct,Clothing,North,1259,2332,175
Jul,Electronics,East,6025,2955,72
Jul,Furniture,North,5358,2479,48
Nov,Cosmetics,East,9974,812,135
Sep,Sports,North,1504,2723,92
Oct,Cosmetics,West,2759,449,30
Oct,Sports,North,8514,2985,41
Dec,Electronics,South,8760,2467,37
Mar,Sports,East,4794,2684,112
Jul,Furniture,West,4590,2559,21
Jan,Sports,East,7970,1005,130
Apr,Clothing,East,9980,1927,120
Apr,Furniture,South,7285,2680,88
May,Electronics,North,4329,601,101
Jul,Furniture,South,5012,1277,129
Jul,Clothing,North,3092,1013,94
Nov,Electronics,West,3967,1615,89
Apr,Cosmetics,South,2675,626,160
Jul,Clothing,South,5396,1292,24
Nov,Electronics,East,1287,2126,110
Mar,Sports,South,1785,810,21
Jun,Furniture,North,3316,2140,141
Dec,Electronics,South,3838,2897,44
Feb,Furniture,South,8229,211,104
Oct,Sports,West,9137,2610,198
Sep,Electronics,North,9118,2199,36
May,Cosmetics,East,2265,1772,134
Jun,Clothing,North,3983,2402,170
Dec,Electronics,West,6901,1750,22
Dec,Sports,North,8931,399,174
Dec,Electronics,North,9143,1057,181
Dec,Furniture,South,9030,2574,11
Apr,Toys,South,9262,1990,175
Nov,Electronics,North,1611,406,46
Oct,Cosmetics,North,8228,2246,196
Jul,Electronics,East,4523,220,123
Dec,Clothing,West,6512,2118,129
Sep,Electronics,South,4702,2377,78
Jul,Toys,South,6424,2798,27
Jan,Furniture,South,9382,1377,57
Jan,Electronics,South,2628,1527,90
Sep,Cosmetics,North,8907,1617,75
Nov,Sports,North,4372,1285,186
Sep,Electronics,East,9208,2031,115
Apr,Electronics,South,4139,1555,67
Sep,Clothing,South,3259,1279,172
Mar,Cosmetics,North,3250,1446,87
Jul,Toys,East,7121,728,195
Jun,Sports,North,9181,1314,16
Aug,Furniture,South,1283,1299,112
Nov,Electronics,South,6725,2061,118
Sep,Toys,West,8918,616,18
May,Sports,West,6237,944,78
Jan,Furniture,West,9794,1647,141
Mar,Toys,East,5075,1694,169
Oct,Cosmetics,North,7162,2980,142
Dec,Cosmetics,South,8636,919,65
Aug,Sports,South,6737,2958,65
Nov,Furniture,East,9992,861,53
Jun,Cosmetics,South,9951,1462,81
Aug,Sports,South,9002,2466,150
Sep,Cosmetics,North,8072,210,141
Apr,Cosmetics,West,2493,1941,189
Jan,Toys,West,1372,906,24
Jan,Toys,East,6587,1596,129
Oct,Cosmetics,West,8071,1343,119
Apr,Clothing,West,3891,586,91
Dec,Toys,East,7586,910,93
Jul,Furniture,East,8623,2143,10
Feb,Sports,West,4319,616,148
Mar,Sports,North,4967,934,198
Jan,Furniture,East,1822,723,102
May,Furniture,South,1221,1147,97
Jan,Furniture,East,7880,1664,93
Aug,Furniture,South,4888,1255,175
Jan,Electronics,East,6300,2703,54
Nov,Sports,East,4270,1444,83
Jan,Electronics,West,5693,596,77
Feb,Cosmetics,West,8566,2529,13
Feb,Cosmetics,West,4993,2363,57
Dec,Sports,North,3598,2903,106
Jun,Cosmetics,West,2666,642,146
Jul,Furniture,West,5757,1015,99
May,Electronics,East,2554,1901,184
Jan,Furniture,East,7115,181,69
Jan,Cosmetics,North,6437,1093,61
Mar,Toys,South,7241,1279,133
Feb,Electronics,East,1087,265,95
May,Furniture,East,8115,2355,170
Dec,Sports,South,3703,2171,195
Oct,Furniture,North,3418,906,106
Jun,Toys,East,5147,2838,57
Jul,Cosmetics,West,2747,431,142
Apr,Electronics,North,9232,1685,36
Jul,Sports,South,1038,1634,178
Nov,Electronics,South,8043,1716,10
Aug,Sports,West,3151,2388,60
Nov,Electronics,West,4937,2983,153
Jan,Cosmetics,West,7886,280,108
Jun,Sports,North,1208,1416,109
Aug,Clothing,South,1599,2116,169
May,Electronics,West,9796,1206,112
Apr,Electronics,West,4709,1689,56
Feb,Furniture,South,8726,2237,160
Jun,Sports,East,1213,2586,24
Jun,Toys,North,6723,1838,163
Nov,Clothing,East,7552,2690,46
Jan,Cosmetics,West,7238,2340,192
Sep,Furniture,North,9460,587,139
Dec,Clothing,East,3408,711,85
Nov,Sports,South,8972,1212,156
Jun,Clothing,West,5778,1497,41
Mar,Electronics,North,1822,1556,64
Apr,Electronics,North,7100,2293,108
Dec,Furniture,North,3595,1437,65
Nov,Sports,North,9117,426,38
Apr,Sports,West,4953,2300,118
Mar,Clothing,West,4831,501,93
Oct,Furniture,South,5583,2967,173
Mar,Sports,South,7235,587,125
Mar,Toys,South,9842,2214,80
Apr,Toys,East,8983,2236,91
Jul,Electronics,South,7500,1258,62
Apr,Clothing,West,6851,2349,94
Sep,Cosmetics,East,2634,2575,95
Jan,Electronics,West,5814,1302,176
Aug,Furniture,East,2167,2486,85
Jul,Sports,South,5076,178,20
Feb,Electronics,South,9390,1720,85
Aug,Cosmetics,South,7958,1656,39
Jan,Cosmetics,East,6442,477,88
Nov,Toys,West,7360,264,116
Dec,Furniture,North,7699,1663,190
Sep,Electronics,West,4505,848,91
Sep,Clothing,South,1802,1820,145
Feb,Electronics,East,8627,1945,29
Jul,Toys,East,9892,254,21
Oct,Cosmetics,South,1502,1246,76
Mar,Furniture,East,6825,1163,187
Jul,Furniture,South,8939,2316,135
Dec,Clothing,West,7032,2939,149
Oct,Furniture,East,8406,1453,63
Sep,Toys,North,5719,1563,89
Apr,Toys,East,8748,1616,133
Dec,Toys,South,3870,2501,191
Jan,Furniture,North,5758,427,83
Feb,Furniture,South,6968,2645,156
Jan,Toys,East,2098,1626,151
Dec,Furniture,North,4169,2492,189
May,Furniture,North,1382,2790,159
May,Cosmetics,East,8790,888,141
Nov,Electronics,North,4940,2524,125
Jul,Sports,West,8452,1418,68
Sep,Furniture,North,7452,2581,171
Sep,Sports,North,5271,2648,73
Mar,Sports,West,5323,2668,137
Mar,Cosmetics,South,3038,661,27
Mar,Furniture,South,6461,612,91
Apr,Toys,West,9063,615,40
Aug,Sports,North,2985,1639,93
Jun,Furniture,East,2262,2644,51
Aug,Clothing,West,6731,2749,140
Jan,Toys,East,6116,1285,94
Aug,Clothing,South,1349,766,192
Apr,Clothing,West,1440,1650,19
Nov,Sports,East,3808,2512,80
Jan,Clothing,North,3562,1667,31
Aug,Cosmetics,West,4152,1548,160
Apr,Cosmetics,East,9479,1066,85
Jun,Sports,West,3333,2080,22
Aug,Furniture,West,1073,1698,177
Apr,Electronics,South,8544,2080,132
Mar,Furniture,South,7949,463,150
Sep,Furniture,North,3205,207,106
Mar,Furniture,South,9621,722,104
Sep,Furniture,South,2471,420,60
Feb,Toys,South,4481,609,92
Feb,Electronics,East,8538,2819,105
Feb,Toys,West,4180,1164,99
Jun,Clothing,South,2730,403,135
Mar,Furniture,East,1035,1068,22
Sep,Cosmetics,West,2020,1538,166
Apr,Sports,South,6534,1517,184
Jan,Sports,South,8161,2512,163
Apr,Toys,West,9009,2885,127
Jan,Toys,East,4117,1088,160
May,Cosmetics,East,3535,2299,84
Apr,Furniture,North,5714,358,193
Aug,Electronics,West,9337,2854,28
Aug,Clothing,North,5963,2074,107
Jul,Sports,East,7091,2370,120
Mar,Clothing,South,2026,1389,187
Jan,Electronics,North,4665,329,117
Jan,Toys,East,2286,2586,44
Dec,Sports,East,3846,249,186
Nov,Clothing,South,9512,1009,183
Mar,Toys,West,8774,1077,102
Jun,Electronics,East,3293,734,109
Jul,Clothing,North,2612,1993,190
Jun,Furniture,South,1476,2546,168
Jun,Toys,West,8426,721,105
Jun,Electronics,West,9974,2290,93
Mar,Clothing,West,2947,1047,159
Jun,Furniture,East,4331,1193,76
Aug,Furniture,West,6260,153,145
Nov,Electronics,East,7066,943,28
Nov,Cosmetics,South,8647,2699,40
Feb,Sports,South,6469,1965,41
May,Electronics,West,2593,398,64
Jan,Furniture,South,8704,2839,112
Dec,Furniture,North,7154,2705,168
Jan,Electronics,North,1256,544,60
May,Cosmetics,East,7512,197,131
Dec,Sports,West,3991,2205,101
Mar,Clothing,East,2417,276,164
Apr,Electronics,South,8760,818,185
Mar,Sports,West,8965,1408,119
Jan,Sports,East,5114,2138,52
Jan,Toys,West,9301,2813,188
Dec,Furniture,West,3552,422,84
Dec,Clothing,East,6407,2822,80
May,Electronics,West,5733,1823,81
Jun,Furniture,South,3042,1493,187
Mar,Toys,North,3181,2089,198
Dec,Toys,North,5492,945,112
Sep,Furniture,West,4558,189,50
May,Cosmetics,North,4658,230,188
Aug,Sports,West,3694,1152,87
Jan,Electronics,East,4884,2809,33
May,Electronics,South,5780,2205,39
Mar,Electronics,North,4284,1180,61
Dec,Furniture,East,6952,1093,187
Jan,Cosmetics,South,8517,1517,66
Apr,Clothing,North,7162,289,199
May,Toys,North,6106,2223,88
Jul,Furniture,South,3166,2518,126
Jan,Clothing,East,5397,998,190
Mar,Toys,East,8668,2998,40
Feb,Toys,North,4392,1860,85
Sep,Cosmetics,South,4711,605,39
Oct,Sports,East,6879,2066,122
Jun,Electronics,South,2586,282,147
Oct,Clothing,South,8138,253,181
Mar,Furniture,North,8662,1392,143
Aug,Clothing,South,8404,2053,164
Aug,Sports,South,9556,1146,29
Feb,Electronics,West,4939,2673,29
Jun,Clothing,South,4199,705,21
Jul,Sports,East,7941,1466,94
Feb,Furniture,North,1981,2486,58
Nov,Cosmetics,North,4552,2058,189
Oct,Toys,South,1921,1164,19
Feb,Furniture,South,4658,1799,14
Oct,Electronics,East,4995,617,73
Jan,Toys,West,8064,2554,195
Aug,Furniture,North,6052,237,145
Jan,Furniture,West,6406,1222,167
Sep,Furniture,East,5277,2488,26
Nov,Furniture,North,2474,1439,76
Jun,Toys,East,8098,2689,30
Jul,Electronics,South,4767,2372,25
Oct,Sports,East,7719,2408,36
Jul,Clothing,South,9594,1202,124
Oct,Cosmetics,West,1612,796,15
Mar,Clothing,North,8286,910,51
Feb,Clothing,North,4017,572,153
Sep,Cosmetics,West,5788,176,182
Aug,Toys,South,8102,2409,12
Dec,Electronics,North,4201,1125,49
Oct,Cosmetics,East,1752,2164,29
Jul,Electronics,South,8556,443,16
Sep,Toys,North,2341,1039,68
Apr,Clothing,East,9696,2841,148
Apr,Electronics,East,8014,945,102
Jan,Toys,North,7755,1130,61
Aug,Toys,West,4482,2393,140
Dec,Sports,West,8728,1085,30
Mar,Cosmetics,North,6565,273,190
Jul,Sports,East,8611,945,167
Dec,Clothing,West,8930,792,20
Feb,Cosmetics,West,7517,1108,162
Feb,Clothing,West,3422,2428,59
Jul,Sports,South,9865,1432,18
Jun,Toys,West,6985,336,54
Mar,Clothing,North,7947,2304,38
Sep,Cosmetics,North,9784,1374,71
Oct,Cosmetics,South,8635,1344,24
Jun,Clothing,South,4668,437,28
Oct,Cosmetics,North,7462,1334,152
Oct,Toys,South,4138,436,176
Jun,Toys,West,5509,1257,44
Jan,Cosmetics,East,3500,1967,150
Apr,Clothing,East,3793,2918,153
Oct,Sports,East,5293,594,76
Jun,Cosmetics,North,6399,646,104
Jun,Cosmetics,South,1299,260,64
Nov,Cosmetics,East,2906,2136,44
Dec,Cosmetics,West,3485,2752,25
May,Clothing,West,8459,2534,138
Jan,Sports,West,9398,1841,187
Aug,Sports,South,7120,1607,23
May,Electronics,East,9485,1625,71
Dec,Cosmetics,West,2873,1087,144
Dec,Cosmetics,South,7102,1475,160
Dec,Electronics,West,7172,1653,108
May,Sports,East,7322,2381,38
Jul,Furniture,East,3088,2123,159
Apr,Toys,East,8637,2017,102
Jun,Furniture,East,6311,1968,15
Apr,Sports,East,7487,1701,166
Mar,Cosmetics,West,7880,1399,98
Jul,Furniture,East,5721,810,11
Aug,Clothing,West,4426,2606,105
Apr,Clothing,East,1528,1576,45
Feb,Electronics,West,2924,2560,105
Dec,Sports,East,7460,1141,157
Oct,Sports,West,6976,171,192
Mar,Furniture,East,7021,2525,46
Jan,Cosmetics,South,1862,2146,111
Aug,Sports,West,5320,2829,189
Mar,Furniture,South,4494,2981,78
Dec,Furniture,West,7052,1478,79
Oct,Toys,West,9259,1917,159
Jul,Toys,West,2642,2298,116
Oct,Sports,North,6196,1203,24
May,Furniture,East,7999,819,107
Oct,Electronics,South,8322,2115,56
May,Electronics,South,4143,2031,117
Jul,Toys,West,2470,2277,117
Sep,Sports,South,6678,1294,78
Dec,Cosmetics,South,2382,505,61
May,Electronics,South,6396,2045,176
Jan,Electronics,South,8114,1156,11
Oct,Toys,North,2705,635,54
Oct,Toys,West,6997,2344,161
Jan,Sports,South,7063,1169,198
Feb,Toys,North,8962,373,120
Jun,Clothing,North,9096,1866,101
Sep,Furniture,West,3594,232,131
Aug,Electronics,East,2315,363,74
May,Clothing,East,9139,466,190
Jan,Cosmetics,East,9759,2972,125
Jul,Clothing,South,3704,2152,158
May,Sports,West,6725,2416,136
